team1_form,team2_form,head_to_head,venue_win_rate_t1,venue_win_rate_t2,venue_avg_score,toss_advantage,season,target
0.5,0.5,0.5,0.5,0.5,322.702024291498,1,2008,0
0.5,0.5,0.5,0.5,0.5,322.702024291498,0,2008,0
0.5,0.5,0.5,0.5,0.5,322.702024291498,0,2008,1
1.0,0.5,0.5,0.5,0.5,322.702024291498,0,2008,1
0.5,0.0,0.5,0.5,0.5,322.702024291498,1,2008,0
0.0,0.0,0.5,0.5,0.5,322.702024291498,0,2008,1
0.0,1.0,0.5,0.5,0.5,322.702024291498,1,2008,0
1.0,0.0,0.5,0.5,0.5,322.702024291498,0,2008,1
0.0,0.5,0.5,0.0,0.5,285.0,0,2008,0
0.0,0.0,0.5,0.0,0.5,447.0,0,2008,1
1.0,1.0,0.5,1.0,0.5,410.0,0,2008,1
0.5,0.6666666666666666,0.5,0.0,0.5,304.0,0,2008,0
0.0,0.0,0.5,0.5,0.5,322.702024291498,0,2008,0
0.3333333333333333,1.0,0.5,0.5,0.5,372.5,0,2008,1
0.3333333333333333,1.0,0.5,0.0,0.5,288.5,0,2008,0
0.6666666666666666,0.0,0.5,1.0,0.5,222.0,1,2008,0
0.6666666666666666,0.25,0.5,1.0,0.5,261.0,0,2008,1
0.75,0.5,0.5,1.0,0.5,334.0,1,2008,1
0.25,0.5,0.5,0.0,0.5,358.0,0,2008,0
1.0,0.75,0.5,1.0,0.5,354.5,1,2008,0
0.2,0.2,0.5,0.0,0.5,306.6666666666667,0,2008,1
0.6,0.4,0.5,0.6666666666666666,0.5,355.0,1,2008,1
0.2,0.8,0.5,0.0,0.5,309.0,0,2008,1
0.8,0.8,0.5,1.0,0.5,340.5,0,2008,1
0.4,0.8,0.5,0.25,0.5,307.25,0,2008,0
0.6,0.2,0.5,0.6666666666666666,0.5,350.0,0,2008,0
0.4,1.0,0.5,0.5,0.5,302.0,1,2008,1
0.6,0.4,1.0,1.0,0.5,316.5,0,2008,0
0.2,0.2,1.0,0.5,0.5,248.5,1,2008,1
0.8,0.4,1.0,1.0,0.5,300.0,1,2008,1
0.4,1.0,1.0,0.5,0.5,335.5,0,2008,1
0.4,0.2,0.0,0.0,0.5,349.0,0,2008,0
0.8,0.4,0.0,1.0,0.5,295.25,1,2008,1
0.8,0.2,1.0,0.75,0.5,353.0,0,2008,1
0.4,0.4,0.5,0.6666666666666666,0.5,250.0,1,2008,1
0.6,0.4,0.0,0.0,0.5,331.0,1,2008,1
0.2,0.2,1.0,0.6666666666666666,0.5,336.0,0,2008,1
0.8,0.6,1.0,0.5,0.5,322.5,1,2008,1
0.8,0.2,1.0,1.0,0.5,299.2,0,2008,1
0.2,0.8,0.0,0.75,0.5,346.0,1,2008,0
0.6,0.4,0.0,0.75,0.5,248.25,1,2008,0
0.2,1.0,1.0,0.0,0.5,358.0,1,2008,0
0.2,0.2,0.0,0.2,0.5,296.4,0,2008,0
0.6,0.8,0.0,0.6,0.5,239.4,0,2008,0
0.6,0.0,1.0,0.6,0.5,337.2,0,2008,0
1.0,0.8,0.0,0.6666666666666666,0.5,260.0,1,2008,0
0.8,0.2,1.0,0.8,0.5,339.8,1,2008,1
0.4,0.8,0.0,0.6,0.5,319.2,1,2008,1
0.6,0.8,0.0,0.5,0.5,320.6666666666667,0,2008,0
0.0,0.2,0.0,0.0,0.5,352.6,1,2008,0
